"","x","z"
"1355",5,28
"1356",6,28
"1357",7,28
"1358",8,28
"1359",9,28
"1360",10,28
"1361",11,28
"1362",12,28
"1363",13,28
"1364",14,28
"1365",15,28
"1366",16,28
"1367",17,28
"1368",18,28
"1369",19,28
"1370",20,28
"1371",21,28
"1372",22,28
"1373",23,28
"1374",24,28
"1375",25,28
"1376",26,28
"1377",27,28
"1378",28,28
"1379",29,28
"1380",30,28
"1381",31,28
"1382",32,28
"1383",33,28
"1384",34,28
"1385",35,28
"1386",36,28
"1387",37,28
"1388",38,28
"1389",39,28
"1390",40,28
"1391",41,28
"1392",42,28
"1393",43,28
"1394",44,28
"1395",45,28
"1396",46,28
"1397",47,28
"1398",48,28
"1399",49,28
"1400",50,28
"1401",1,29
"1402",2,29
"1403",3,29
"1404",4,29
"1405",5,29
"1406",6,29
"1407",7,29
"1408",8,29
"1409",9,29
"1410",10,29
"1411",11,29
"1412",12,29
"1413",13,29
"1414",14,29
"1415",15,29
"1416",16,29
"1417",17,29
"1418",18,29
"1419",19,29
"1420",20,29
"1421",21,29
"1422",22,29
"1423",23,29
"1424",24,29
"1425",25,29
"1426",26,29
"1427",27,29
"1428",28,29
"1429",29,29
"1430",30,29
"1431",31,29
"1432",32,29
"1433",33,29
"1434",34,29
"1435",35,29
"1436",36,29
"1437",37,29
"1438",38,29
"1439",39,29
"1440",40,29
"1441",41,29
"1442",42,29
"1443",43,29
"1444",44,29
"1445",45,29
"1446",46,29
"1447",47,29
"1448",48,29
"1449",49,29
"1450",50,29
"1451",1,30
"1452",2,30
"1453",3,30
"1454",4,30
"1455",5,30
"1456",6,30
"1457",7,30
"1458",8,30
"1459",9,30
"1460",10,30
"1461",11,30
"1462",12,30
"1463",13,30
"1464",14,30
"1465",15,30
"1466",16,30
"1467",17,30
"1468",18,30
"1469",19,30
"1470",20,30
"1471",21,30
"1472",22,30
"1473",23,30
"1474",24,30
"1475",25,30
"1476",26,30
"1477",27,30
"1478",28,30
"1479",29,30
"1480",30,30
"1481",31,30
"1482",32,30
"1483",33,30
"1484",34,30
"1485",35,30
"1486",36,30
"1487",37,30
"1488",38,30
"1489",39,30
"1490",40,30
"1491",41,30
"1492",42,30
"1493",43,30
"1494",44,30
"1495",45,30
"1496",46,30
"1497",47,30
"1498",48,30
"1499",49,30
"1500",50,30
"1501",1,31
"1502",2,31
"1503",3,31
"1504",4,31
"1505",5,31
"1506",6,31
"1507",7,31
"1508",8,31
"1509",9,31
"1510",10,31
"1511",11,31
"1512",12,31
"1513",13,31
"1514",14,31
"1515",15,31
"1516",16,31
"1517",17,31
"1518",18,31
"1519",19,31
"1520",20,31
"1521",21,31
"1522",22,31
"1523",23,31
"1524",24,31
"1525",25,31
"1526",26,31
"1527",27,31
"1528",28,31
"1529",29,31
"1530",30,31
"1531",31,31
"1532",32,31
"1533",33,31
"1534",34,31
"1535",35,31
"1536",36,31
"1537",37,31
"1538",38,31
"1539",39,31
"1540",40,31
"1541",41,31
"1542",42,31
"1543",43,31
"1544",44,31
"1545",45,31
"1546",46,31
"1547",47,31
"1548",48,31
"1549",49,31
"1550",50,31
"1551",1,32
"1552",2,32
"1553",3,32
"1554",4,32
"1555",5,32
"1556",6,32
"1557",7,32
"1558",8,32
"1559",9,32
"1560",10,32
"1561",11,32
"1562",12,32
"1563",13,32
"1564",14,32
"1565",15,32
"1566",16,32
"1567",17,32
"1568",18,32
"1569",19,32
"1570",20,32
"1571",21,32
"1572",22,32
"1573",23,32
"1574",24,32
"1575",25,32
"1576",26,32
